序号,学校
1,中国科学技术大学
2,合肥工业大学
3,安徽大学
4,清华大学
5,北京大学
6,中国人民大学
7,北京航空航天大学
8,中央财经大学
9,北京师范大学
10,对外经济贸易大学
11,北京理工大学
12,北京外国语大学
13,中国政法大学
14,北京邮电大学
15,中国传媒大学
16,北京科技大学
17,北京交通大学
18,中国农业大学
19,中央民族大学
20,华北电力大学
21,北京中医药大学
22,北京林业大学
23,北京工业大学
24,北京化工大学
25,中国地质大学（北京）
26,中国矿业大学（北京）
27,北京体育大学
28,中国石油大学（北京）
29,中央音乐学院
30,厦门大学
31,福州大学
32,兰州大学
33,中山大学
34,华南理工大学
35,暨南大学
36,华南师范大学
37,广西大学
38,贵州大学
39,海南大学
40,河北工业大学
41,郑州大学
42,哈尔滨工业大学
43,哈尔滨工程大学
44,东北林业大学
45,东北农业大学
46,武汉大学
47,华中科技大学
48,中南财经政法大学
49,华中师范大学
50,武汉理工大学
51,中国地质大学（武汉）
52,华中农业大学
53,中南大学
54,湖南大学
55,湖南师范大学
56,国防科技大学
57,吉林大学
58,东北师范大学
59,延边大学
60,南京大学
61,东南大学
62,南京航空航天大学
63,南京理工大学
64,苏州大学
65,中国药科大学
66,河海大学
67,江南大学
68,南京师范大学
69,南京农业大学
70,中国矿业大学
71,南昌大学
72,大连理工大学
73,东北大学
74,大连海事大学
75,辽宁大学
76,内蒙古大学
77,宁夏大学
78,青海大学
79,山东大学
80,中国海洋大学
81,中国石油大学（华东）
82,太原理工大学
83,西安交通大学
84,西北工业大学
85,西安电子科技大学
86,西北大学
87,长安大学
88,陕西师范大学
89,西北农林科技大学
90,第四军医大学
91,复旦大学
92,上海交通大学
93,同济大学
94,上海财经大学
95,华东师范大学
96,上海外国语大学
97,华东理工大学
98,东华大学
99,上海大学
100,第二军医大学
101,西南财经大学
102,四川大学
103,电子科技大学
104,西南交通大学
105,四川农业大学
106,南开大学
107,天津大学
108,天津医科大学
109,西藏大学
110,新疆大学
111,石河子大学
112,云南大学
113,浙江大学
114,重庆大学
115,西南大学
