序号,学校
1,北京大学
2,中国人民大学
3,清华大学
4,北京交通大学
5,北京工业大学
6,北京航空航天大学
7,北京理工大学
8,北京科技大学
9,北京化工大学
10,北京邮电大学
11,中国农业大学
12,北京林业大学
13,北京协和医学院
14,北京中医药大学
15,北京师范大学
16,首都师范大学
17,北京外国语大学
18,中国传媒大学
19,中央财经大学
20,对外经济贸易大学
21,外交学院
22,中国人民公安大学
23,北京体育大学
24,中央音乐学院
25,中国音乐学院
26,中央美术学院
27,中央戏剧学院
28,中央民族大学
29,中国政法大学
30,南开大学
31,天津大学
32,天津工业大学
33,天津医科大学
34,天津中医药大学
35,华北电力大学
36,河北工业大学
37,山西大学
38,太原理工大学
39,内蒙古大学
40,辽宁大学
41,大连理工大学
42,东北大学
43,大连海事大学
44,吉林大学
45,延边大学
46,东北师范大学
47,哈尔滨工业大学
48,哈尔滨工程大学
49,东北农业大学
50,东北林业大学
51,复旦大学
52,同济大学
53,上海交通大学
54,华东理工大学
55,东华大学
56,上海海洋大学
57,上海中医药大学
58,华东师范大学
59,上海外国语大学
60,上海财经大学
61,上海体育学院
62,上海音乐学院
63,上海大学
64,南京大学
65,苏州大学
66,东南大学
67,南京航空航天大学
68,南京理工大学
69,中国矿业大学
70,南京邮电大学
71,河海大学
72,江南大学
73,南京林业大学
74,南京信息工程大学
75,南京农业大学
76,南京医科大学
77,南京中医药大学
78,中国药科大学
79,南京师范大学
80,浙江大学
81,中国美术学院
82,安徽大学
83,中国科学技术大学
84,合肥工业大学
85,厦门大学
86,福州大学
87,南昌大学
88,山东大学
89,中国海洋大学
90,中国石油大学（华东）
91,郑州大学
92,河南大学
93,武汉大学
94,华中科技大学
95,中国地质大学（武汉）
96,武汉理工大学
97,华中农业大学
98,华中师范大学
99,中南财经政法大学
100,湘潭大学
101,湖南大学
102,中南大学
103,湖南师范大学
104,中山大学
105,暨南大学
106,华南理工大学
107,华南农业大学
108,广州医科大学
109,广州中医药大学
110,华南师范大学
111,海南大学
112,广西大学
113,四川大学
114,重庆大学
115,西南交通大学
116,电子科技大学
117,西南石油大学
118,成都理工大学
119,四川农业大学
120,成都中医药大学
121,西南大学
122,西南财经大学
123,贵州大学
124,云南大学
125,西藏大学
126,西北大学
127,西安交通大学
128,西北工业大学
129,西安电子科技大学
130,长安大学
131,西北农林科技大学
132,陕西师范大学
133,兰州大学
134,青海大学
135,宁夏大学
136,新疆大学
137,石河子大学
138,中国矿业大学（北京）
139,中国石油大学（北京）
140,中国地质大学（北京）
141,宁波大学
142,南方科技大学
143,上海科技大学
144,中国科学院大学
145,国防科技大学
146,海军军医大学
147,空军军医大学
